,n_single,n_switch,s_threshold,lambda,single_accept_rate,switch_accept_rate
1,11.0,41.0,6.525,0.11831133010175764,0.9090909090909091,0.5609756097560976
2,16.0,150.0,6.198717948717949,0.01,0.875,0.4666666666666667
3,9.0,45.0,5.1,0.09712948774431568,0.8888888888888888,0.5333333333333333
4,16.0,31.0,7.672727272727273,0.15447498716876984,1.0,0.6129032258064516
5,7.0,26.0,5.25,0.01,0.8571428571428571,0.46153846153846156
6,3.0,10.0,7.666742857142857,0.4182935422243293,1.0,0.6
7,15.0,147.0,5.685777232816099,0.12724011137279334,0.8666666666666667,0.6258503401360545
8,9.0,9.0,5.188881111888811,0.01,0.8888888888888888,0.1111111111111111
9,17.0,189.0,7.419247787610621,0.13881808601569914,1.0,0.6243386243386243
10,11.0,34.0,5.133333333333333,0.01,0.7272727272727273,0.5
11,17.0,156.0,7.35,0.05152743018114389,1.0,0.5128205128205128
12,15.0,123.0,5.883333333333333,0.12232762587940862,0.8,0.6016260162601627
13,8.0,22.0,6.2566037735849065,0.01,0.875,0.5
14,7.0,81.0,8.1,0.20122949133562243,1.0,0.6419753086419753
15,15.0,102.0,6.575,0.16818937613503454,0.8666666666666667,0.5980392156862745
16,5.0,37.0,7.333333333333333,0.18732801943957703,1.0,0.5945945945945946
17,11.0,76.0,6.321428571428571,0.015753986838258804,0.8181818181818182,0.4473684210526316
18,5.0,10.0,6.85,0.01,1.0,0.1
19,13.0,33.0,7.642857142857143,0.01,1.0,0.3939393939393939
20,6.0,8.0,7.04375,0.01,1.0,0.125
21,14.0,133.0,5.154999999999999,0.01,0.9285714285714286,0.18045112781954886
